,0,1,2,3,4,5,6,7,8,9,10,11
0,7.0,90.0,8e-05,0.0,8406.0,127.0,0.0,2267.0,0.9882407407407408,0.9469507101086049,1.0,0.9727526281913752
1,7.0,90.0,8e-05,1.0,8409.0,133.0,0.0,2258.0,0.9876851851851852,0.944374738603095,1.0,0.9713916971391697
2,7.0,90.0,8e-05,2.0,8316.0,131.0,0.0,2353.0,0.9878703703703704,0.9472624798711755,1.0,0.9729170973744056
3,7.0,90.0,8e-05,3.0,8354.0,126.0,0.0,2320.0,0.9883333333333333,0.9484873262469338,1.0,0.9735627360469996
4,7.0,90.0,8e-05,4.0,8284.0,130.0,0.0,2386.0,0.9879629629629629,0.9483306836248012,1.0,0.9734802121583027
5,7.0,90.0,8e-05,5.0,8218.0,131.0,0.0,2451.0,0.9878703703703704,0.9492641363284275,1.0,0.9739717862110073
6,7.0,90.0,8e-05,6.0,8171.0,122.0,0.0,2507.0,0.9887037037037038,0.9535945226321796,1.0,0.9762461059190032
7,7.0,90.0,8e-05,7.0,8217.0,131.0,0.0,2452.0,0.9878703703703704,0.9492837785520712,1.0,0.9739821251241312
8,7.0,90.0,8e-05,8.0,8138.0,126.0,0.0,2536.0,0.9883333333333333,0.9526671675432006,1.0,0.9757599076567911
9,7.0,90.0,8e-05,9.0,8137.0,123.0,0.0,2540.0,0.9886111111111111,0.9538114907998498,1.0,0.9763597924274457
10,7.0,90.0,8e-05,4.5,8265.0,128.0,0.0,2407.0,0.9881481481481483,0.9494027034310342,1.0,0.974042408824863
11,0.0,0.0,0.0,2.8722813232690143,98.67218453039337,3.5496478698597698,0.0,100.50771114695628,0.0003286710990610817,0.002925050845565536,0.0,0.0015390664381212964
