,0,1,2,3,4,5,6,7,8,9,10,11
0,7.0,90.0,8e-05,0.0,8490.0,43.0,4.0,2263.0,0.9956481481481482,0.9813529921942759,0.9982355535950596,0.9897222829652307
1,7.0,90.0,8e-05,1.0,8514.0,28.0,1.0,2257.0,0.9973148148148148,0.987746170678337,0.9995571302037201,0.9936165529385869
2,7.0,90.0,8e-05,2.0,8424.0,23.0,0.0,2353.0,0.9978703703703704,0.9903198653198653,1.0,0.9951363924719814
3,7.0,90.0,8e-05,3.0,8447.0,33.0,3.0,2317.0,0.9966666666666667,0.9859574468085106,0.9987068965517242,0.9922912205567451
4,7.0,90.0,8e-05,4.0,8370.0,44.0,0.0,2386.0,0.9959259259259259,0.9818930041152263,1.0,0.9908637873754153
5,7.0,90.0,8e-05,5.0,8302.0,47.0,0.0,2451.0,0.9956481481481482,0.9811849479583667,1.0,0.9905031319458477
6,7.0,90.0,8e-05,6.0,8255.0,38.0,0.0,2507.0,0.9964814814814815,0.9850687622789784,1.0,0.9924782264449723
7,7.0,90.0,8e-05,7.0,8307.0,41.0,0.0,2452.0,0.9962037037037037,0.9835539510629764,1.0,0.9917087967644085
8,7.0,90.0,8e-05,8.0,8228.0,36.0,0.0,2536.0,0.9966666666666667,0.9860031104199067,1.0,0.9929522317932655
9,7.0,90.0,8e-05,9.0,8219.0,41.0,0.0,2540.0,0.9962037037037037,0.9841146842309183,1.0,0.9919937512204647
10,7.0,90.0,8e-05,4.5,8355.6,37.4,0.8,2406.2,0.9964629629629631,0.9847194935067363,0.9996499580350504,0.9921266374476918
11,0.0,0.0,0.0,2.8722813232690143,103.29104511040634,7.144228439796701,1.4000000000000001,101.47787936294294,0.0006738298295800112,0.0027814887673282087,0.0006128807003038361,0.0014938042845491573
