,0,1,2,3,4,5,6,7,8,9,10,11
0,11.0,90.0,8e-05,0.0,10231.0,3.0,2.0,564.0,0.999537037037037,0.9947089947089947,0.9964664310954063,0.9955869373345101
1,11.0,90.0,8e-05,1.0,10229.0,4.0,2.0,565.0,0.9994444444444445,0.9929701230228472,0.9964726631393298,0.994718309859155
2,11.0,90.0,8e-05,2.0,10247.0,5.0,0.0,548.0,0.999537037037037,0.9909584086799277,1.0,0.9954586739327884
3,11.0,90.0,8e-05,3.0,10261.0,4.0,0.0,535.0,0.9996296296296296,0.9925788497217068,1.0,0.9962756052141527
4,11.0,90.0,8e-05,4.0,10264.0,6.0,0.0,530.0,0.9994444444444445,0.9888059701492538,1.0,0.9943714821763603
5,11.0,90.0,8e-05,5.0,10267.0,4.0,1.0,528.0,0.999537037037037,0.9924812030075187,0.998109640831758,0.9952874646559849
6,11.0,90.0,8e-05,6.0,10273.0,2.0,0.0,525.0,0.9998148148148148,0.9962049335863378,1.0,0.9980988593155894
7,11.0,90.0,8e-05,7.0,10272.0,0.0,1.0,527.0,0.9999074074074074,1.0,0.9981060606060606,0.9990521327014218
8,11.0,90.0,8e-05,8.0,10271.0,1.0,0.0,528.0,0.9999074074074074,0.998109640831758,1.0,0.9990539262062441
9,11.0,90.0,8e-05,9.0,10272.0,3.0,0.0,525.0,0.9997222222222222,0.9943181818181818,1.0,0.9971509971509972
10,11.0,90.0,8e-05,4.5,10258.7,3.2,0.6,537.5,0.9996481481481482,0.9941136305526527,0.9989154795672555,0.9965054388547205
11,0.0,0.0,0.0,2.8722813232690143,16.118622769951532,1.7204650534085253,0.8,14.948244044034068,0.00016972502573908932,0.003159777790965215,0.0014257220295212658,0.0016480115065179908
