,0,1,2,3,4,5,6,7,8,9,10,11
0,11,90,8E-05,0,10234,0,107,459,0.990092592592593,1,0.81095406360424,0.895609756097561
1,11,90,8E-05,1,10233,0,135,432,0.9875,1,0.761904761904762,0.864864864864865
2,11,90,8E-05,2,10252,0,93,455,0.991388888888889,1,0.83029197080292,0.90727816550349
3,11,90,8E-05,3,10265,0,56,479,0.994814814814815,1,0.895327102803738,0.944773175542406
4,11,90,8E-05,4,10270,0,40,490,0.996296296296296,1,0.924528301886792,0.96078431372549
5,11,90,8E-05,5,10271,0,53,476,0.995092592592592,1,0.899810964083176,0.94726368159204
6,11,90,8E-05,6,10275,0,56,469,0.994814814814815,1,0.893333333333333,0.943661971830986
7,11,90,8E-05,7,10272,0,58,470,0.994629629629629,1,0.890151515151515,0.94188376753507
8,11,90,8E-05,8,10272,0,42,486,0.996111111111111,1,0.920454545454545,0.958579881656805
9,11,90,8E-05,9,10275,0,48,477,0.995555555555555,1,0.908571428571429,0.952095808383234
10,11,90,8E-05,4.5,10261.9,0,68.8,469.3,0.993629629629629,1,0.873532798759645,0.931679538673195
11,0,0,0,2.87228132326901,15.5463822158083,0,30.1688581156132,16.1496129984591,0.002793412788483,0,0.051098297138693,0.030017013749059
