,0,1,2,3,4,5,6,7,8,9,10,11
0,7.0,90.0,8e-05,0.0,7031.0,9.0,19.0,3741.0,0.9974074074074074,0.9976,0.9949468085106383,0.9962716378162451
1,7.0,90.0,8e-05,1.0,6975.0,5.0,10.0,3810.0,0.9986111111111111,0.9986893840104849,0.9973821989528796,0.9980353634577603
2,7.0,90.0,8e-05,2.0,6921.0,9.0,0.0,3870.0,0.9991666666666666,0.9976798143851509,1.0,0.9988385598141696
3,7.0,90.0,8e-05,3.0,6903.0,13.0,5.0,3879.0,0.9983333333333333,0.9966598150051388,0.998712667353244,0.9976851851851852
4,7.0,90.0,8e-05,4.0,6824.0,16.0,6.0,3954.0,0.9979629629629629,0.9959697732997481,0.9984848484848485,0.9972257250945775
5,7.0,90.0,8e-05,5.0,6988.0,15.0,14.0,3783.0,0.9973148148148148,0.9960505529225908,0.9963128785883593,0.9961816984858459
6,7.0,90.0,8e-05,6.0,7011.0,12.0,0.0,3777.0,0.9988888888888889,0.9968329374505146,1.0,0.9984139571768438
7,7.0,90.0,8e-05,7.0,7018.0,9.0,0.0,3773.0,0.9991666666666666,0.9976203067160233,1.0,0.998808735936466
8,7.0,90.0,8e-05,8.0,7039.0,11.0,0.0,3750.0,0.9989814814814815,0.9970752459452273,1.0,0.998535481294102
9,7.0,90.0,8e-05,9.0,7150.0,13.0,7.0,3630.0,0.9981481481481481,0.9964315124897063,0.9980753368160572,0.9972527472527473
10,7.0,90.0,8e-05,3.5,6958.875,11.0,6.75,3823.375,0.9983564814814815,0.9971378229737065,0.9982299252362462,0.9976826078708867
11,0.0,0.0,0.0,2.29128784747792,66.39924227730313,3.427827300200522,6.6473679001541655,66.72131874446129,0.0006894107690664652,0.0008671387944928074,0.001763167708900907,0.0009820903482938349
